0,1,2,3,4,5,6,7
A,California Institute of Technology,United States of America,95.6,64,97.6,99.8,97.8
A,University of Oxford,United Kingdom,86.5,94.4,98.9,98.8,73.1
A,Stanford University,United States of America,92.5,76.3,96.2,99.9,63.3
A,University of Cambridge,United Kingdom,88.2,91.5,96.7,97,55
A,Massachusetts Institute of Technology,United States of America,89.4,84,88.6,99.7,95.4
A,Harvard University,United States of America,83.6,77.2,99,99.8,45.2
A,Princeton University,United States of America,85.1,78.5,91.9,99.3,52.1
A,Imperial College London,United Kingdom,83.3,96,88.5,96.7,53.7
A,ETH Zurich â Swiss Federal Institute of Technology Zurich,Switzerland,77,97.9,95,91.1,80
A,University of Chicago,United States of America,85.7,65,88.9,99.2,36.6
A,Johns Hopkins University,United States of America,77.6,70,90.4,98.2,100
A,Yale University,United States of America,86.5,64.3,87.8,97.2,43.3
A,"University of California, Berkeley",United States of America,80.4,61.9,91.1,99.7,47.9
A,University College London,United Kingdom,78.1,94.4,91,94.2,40.5
A,Columbia University,United States of America,85.9,73.5,82.2,98.1,-
A,"University of California, Los Angeles",United States of America,80.8,56.4,88.6,98.5,47.9
A,University of Pennsylvania,United States of America,82,49.5,86.9,98.6,47.9
A,Cornell University,United States of America,77.9,63.9,86.1,97.2,33.7
A,University of Toronto,Canada,75.9,77.8,89.3,90.9,49.1
A,Duke University,United States of America,76,56.5,78,99,100
A,University of Michigan,United States of America,76.8,53.7,85.2,94.4,56.3
A,Carnegie Mellon University,United States of America,67.4,57.1,88.8,99.1,57.5
A,London School of Economics and Political Science,United Kingdom,69.8,93.6,80.6,94.3,32.2
A,University of Edinburgh,United Kingdom,68.6,89.8,77.2,96.3,36.1
A,Northwestern University,United States of America,69.8,53.9,78.4,96.5,81.2
A,National University of Singapore,Singapore,71.7,96.2,84.5,79.4,49.8
A,Kingâs College London,United Kingdom,64.5,93.8,75.8,93.8,40.1
A,Karolinska Institute,Sweden,60.6,73.1,81.1,92.2,75.8
A,LMU Munich,Germany,70.5,62.8,77.4,85.7,100
A,New York University,United States of America,74.7,49.3,72.3,95.3,30.4
A,Ãcole Polytechnique FÃ©dÃ©rale de Lausanne,Switzerland,61.3,98.6,67.5,94.6,65.4
A,University of Washington,United States of America,67.1,51.2,70,98.6,43.1
A,University of Melbourne,Australia,62,87.1,75.5,86.6,64.6
A,University of British Columbia,Canada,60.2,90.5,73.2,91.5,42.6
A,KU Leuven,Belgium,59.9,68.6,76.9,87.3,100
A,University of Illinois at Urbana-Champaign,United States of America,64.5,45.8,81.2,86.8,52.8
A,Heidelberg University,Germany,68.8,62.8,69.6,88.2,68.2
A,McGill University,Canada,66.1,85.5,72.1,78.9,40.3
A,"University of California, San Diego",United States of America,56.9,42.9,69.8,98.7,56.7
A,"University of California, Santa Barbara",United States of America,52.6,61.5,66,99.2,90.4
A,Georgia Institute of Technology,United States of America,57.8,71.5,72.7,86,73.7
A,Peking University,China,77.8,49.2,72.4,69.1,100
A,University of Tokyo,Japan,81.4,30.3,83,60.9,50.8
A,"University of California, Davis",United States of America,60.1,58.4,72.7,84.3,57.3
A,University of Hong Kong,Hong Kong,64.6,99.5,72.8,70.1,53.7
A,University of Texas at Austin,United States of America,59.3,31.7,69.7,92.2,63.1
A,Tsinghua University,China,73.3,39.5,83,58.8,100
A,Wageningen University and Research Center,Netherlands,52.6,70.3,66.9,87.8,100
A,Humboldt University of Berlin,Germany,63.7,62.6,77,73.6,36.1
A,University of Wisconsin-Madison,United States of America,65.1,33,68.2,86.6,48.5
A,Brown University,United States of America,62.8,57.8,55.7,96.4,31.4
A,Australian National University,Australia,54.7,93.3,77.3,72.3,48
A,Technical University of Munich,Germany,61,63.8,66,80.1,99.2
A,Ãcole Normale SupÃ©rieure,France,70.6,85.5,47.7,87.1,37.1
A,Nanyang Technological University,Singapore,48.4,94.6,61.3,85.6,99.9
A,University of Manchester,United Kingdom,58.4,87,66,77.3,42
A,University of Sydney,Australia,54.3,84.4,68.1,77.5,72.4
A,University of Amsterdam,Netherlands,52.2,66.5,64.7,87.4,62.8
A,Hong Kong University of Science and Technology,Hong Kong,49.4,80.5,66.1,82.6,68.1
A,The University of Queensland,Australia,49.2,89.3,62.8,82.4,76.7
A,Washington University in St Louis,United States of America,54.3,44.9,55.6,99.2,33.5
A,Utrecht University,Netherlands,48.1,55.8,64.3,88.1,89.1
A,University of North Carolina at Chapel Hill,United States of America,58,39,54.5,95.9,39.4
A,Boston University,United States of America,57.8,51,49.5,97.7,30.3
A,Delft University of Technology,Netherlands,55,84,73.8,61.5,100
A,University of Minnesota,United States of America,53.5,35.3,61,88,98.5
A,Leiden University,Netherlands,50.5,64.3,63.1,85.2,49.8
A,University of Southern California,United States of America,49.3,56.3,58.9,93,38
A,University of Bristol,United Kingdom,47.6,82.4,51.6,91.2,40
A,Durham University,United Kingdom,47.9,86.4,51.9,87.7,34.4
A,Erasmus University Rotterdam,Netherlands,37.2,76.1,55.2,95.6,54.6
A,Free University of Berlin,Germany,57.9,69.2,72.2,60.2,35.1
A,Monash University,Australia,48.1,87.6,58.5,73.3,79.7
A,University of Groningen,Netherlands,43.3,63.9,56.9,84,92.4
A,Pennsylvania State University,United States of America,50.4,40.8,61.9,80.5,56.2
A,University of Glasgow,United Kingdom,41.6,85.8,48.3,92.3,31.6
A,University of Helsinki,Finland,48.4,51.8,60.4,82.1,31.6
A,University of TÃ¼bingen,Germany,47,58.2,59.8,79.3,59.2
A,University of Pittsburgh,United States of America,50.6,33.9,50.3,92.3,39.3
A,University of Warwick,United Kingdom,47.4,90.3,53.1,78.2,37.7
A,Uppsala University,Sweden,44.1,59.6,61,80.9,39.5
A,University of Copenhagen,Denmark,49.8,83.3,42.7,86.2,45
A,University of New South Wales,Australia,40.7,89.5,53.9,82.1,50
A,University of Freiburg,Germany,47.4,60.3,51.1,80.5,100
A,Seoul National University,South Korea,66.5,30.9,70.5,50,85.4
A,University of St Andrews,United Kingdom,49.7,92.3,47.3,78.8,30.6
A,Vanderbilt University,United States of America,47.8,29.1,44.2,95.7,63.2
A,Kyoto University,Japan,70.6,26.1,69.3,46.6,79
A,Maastricht University,Netherlands,37.5,95.5,47.7,82.7,95.4
A,Emory University,United States of America,48.3,51,37.1,96.7,48.9
A,Lund University,Sweden,39.7,74.1,53.6,81.3,70.4
A,Ohio State University,United States of America,51.6,53,46.6,83.2,53.1
A,University of Exeter,United Kingdom,39.4,87.3,40,94.3,31.9
A,University of Bonn,Germany,45.1,63.6,47.5,85.3,-
A,Georgetown University,United States of America,54.4,52.7,39.3,82.5,80.7
A,McMaster University,Canada,39.8,76.1,44.8,84.9,88
A,University of Sheffield,United Kingdom,42.4,81.9,48.8,80.1,43.4
A,Queen Mary University of London,United Kingdom,34.1,93.5,41.3,93.3,36.8
A,University of GÃ¶ttingen,Germany,49.3,56.4,54.5,72.7,31.8
A,Michigan State University,United States of America,47.3,56.4,52.6,76.8,32.2
A,University of Basel,Switzerland,39.5,94.7,33.1,88.3,99.9
A,Ãcole Polytechnique,France,53.5,92.8,44.6,64.7,82.3
A,Rice University,United States of America,37.9,66.6,35.1,99.7,41.7
A,Dartmouth College,United States of America,50.7,38.3,35.8,93.3,40.8
A,University of Zurich,Switzerland,49.5,90.4,31.5,85.4,44
A,Aarhus University,Denmark,36.9,76.8,50.7,79.8,68.3
A,"University of California, Irvine",United States of America,39.9,59.2,41.8,91.6,48.9
A,University of Mannheim,Germany,34.5,64.6,47.7,86.9,85.3
A,University of Notre Dame,United States of America,47.6,47.6,48.1,81.7,33.7
A,University of Western Australia,Australia,33.4,92.6,46.1,83.6,64.5
A,RWTH Aachen University,Germany,49.4,54.1,56.3,63.2,98.1
A,University of Southampton,United Kingdom,39.8,88.4,43.6,82,37.5
A,Scuola Normale Superiore di Pisa,Italy,54.2,46.3,53.1,67.2,52
A,University of Montreal,Canada,46.3,84.2,45.5,69.6,92.6
A,Pierre and Marie Curie University,France,52.8,74.1,32.7,82.9,37.4
A,Purdue University,United States of America,50.2,66.4,57.7,63.2,-
A,Pohang University of Science and Technology,South Korea,49.1,33.7,47.1,76.7,100
A,"University of Maryland, College Park",United States of America,45,43.5,42.1,88.2,32.3
A,Ghent University,Belgium,42.1,54.2,54.5,71.2,88.3
A,University of Birmingham,United Kingdom,39.4,82,41.8,82.7,34.7
A,University of Bern,Switzerland,40,83.7,42.5,76.6,82.9
A,University of Cape Town,South Africa,34.9,80.2,38.7,85.6,92.7
A,University of Florida,United States of America,51.8,33.3,56.8,67.7,-
A,University of Erlangen-Nuremberg,Germany,51.7,47,39.7,75.2,99.4
A,"Rutgers, the State University of New Jersey",United States of America,43.9,34.7,55.7,75.4,35.9
A,University of MÃ¼nster,Germany,40.3,46.3,44.1,85.6,58.2
A,Radboud University Nijmegen,Netherlands,34.3,60.9,48.5,84.9,39.2
A,University of Colorado Boulder,United States of America,39.7,36.6,37.6,96.4,35.7
A,Tufts University,United States of America,45.2,49.4,33.3,90.1,60.7
A,"Royal Holloway, University of London",United Kingdom,35.1,92.7,33.2,91.2,34.4
A,Lancaster University,United Kingdom,34,87,41.4,85.3,33.6
A,University of Geneva,Switzerland,34.9,98.5,40.5,78.5,72.4
A,University of York,United Kingdom,41.9,83.5,46.3,73.1,31.1
A,Case Western Reserve University,United States of America,46.1,40.5,33.2,92,34.1
A,University of Leeds,United Kingdom,43.7,77.4,39,79.2,36.7
A,University of Oslo,Norway,43.3,68.2,44.7,75.5,38.3
A,Stockholm University,Sweden,34.1,48.5,51.2,82.5,31.1
A,University of Alberta,Canada,46.4,80.7,48.1,63.6,47.4
A,Chinese University of Hong Kong,Hong Kong,41.5,81.1,48.5,68.4,37.5
A,Karlsruhe Institute of Technology,Germany,37.7,56.7,47.5,73.8,99.5
A,University of Sussex,United Kingdom,33.4,88.3,37.2,86.1,30.6
A,University of Massachusetts,United States of America,40.2,48.9,36.3,88.1,52.2
A,University of Vienna,Austria,40.8,92.6,50.5,63.6,30.2
A,University of Nottingham,United Kingdom,40.3,80.6,39,77.5,39.8
A,"University of California, Santa Cruz",United States of America,31.1,45.6,34.2,99.9,36.1
A,University of Lausanne,Switzerland,30.9,89.2,45.6,76.2,56
A,Autonomous University of Barcelona,Spain,40.3,50.3,40,83.8,34.9
A,University of Virginia,United States of America,38.8,43.4,37.5,87.3,37.9
A,Korea Advanced Institute of Science and Technology (KAIST),South Korea,43.3,33.9,40.5,75.9,100
A,University of Adelaide,Australia,32.8,85.1,43.2,72.4,79.3
A,University of East Anglia,United Kingdom,31.9,83.5,28.7,92.7,28.5
A,University of Twente,Netherlands,34.1,80.1,45.6,68.8,91.2
A,Sungkyunkwan University (SKKU),South Korea,51.4,36.7,53.5,53.8,97.5
A,VU University Amsterdam,Netherlands,28.4,54.9,37.1,90.7,60.1
A,KTH Royal Institute of Technology,Sweden,39,84.4,44.3,63.9,78.1
A,University of Cologne,Germany,42.2,53.1,38,75,68.5
A,University of Liverpool,United Kingdom,32.8,85.4,30.9,85.9,36.6
A,TU Dresden,Germany,41.4,47.7,45.8,66.1,99.7
A,University of Rochester,United States of America,39.7,55.8,27.9,89,37
A,Trinity College Dublin,Republic of Ireland,41.9,90.5,30.8,75.8,28
A,Lomonosov Moscow State University,Russian Federation,75.4,57.8,66.7,8.6,95.7
A,University of Miami,United States of America,41.7,64,22.3,90.1,35.5
A,University of Arizona,United States of America,38.7,38.6,41.8,79.5,32.4
A,Pompeu Fabra University,Spain,32.9,63.3,28,90.7,37.2
A,University of Reading,United Kingdom,39.3,85.1,37.3,69.9,34.2
A,Yeshiva University,United States of America,44.8,28.5,23.7,92.8,-
A,"University of California, Riverside",United States of America,27.5,59.5,33.3,91.2,42.5
A,University of Leicester,United Kingdom,32.1,86.6,27.8,86,31.7
A,National Taiwan University,Taiwan,54.1,27.7,58,47.3,49.6
A,Technical University of Denmark,Denmark,37.3,85.1,29.9,77.8,50
A,UniversitÃ© Catholique de Louvain,Belgium,38.7,74.2,40.6,68.4,51
A,University of Aberdeen,United Kingdom,29.7,91.4,31.4,82.6,43.1
A,University of Auckland,New Zealand,31.4,90.5,39.5,69.8,78
A,University of Barcelona,Spain,38.5,49.2,37.4,78.9,31.1
A,University of Konstanz,Germany,38.5,58.3,46.7,61.9,92.4
A,Eindhoven University of Technology,Netherlands,34.3,71.3,41,70.7,57.3
A,University College Dublin,Republic of Ireland,35,86.3,38.5,70.8,33.5
A,Hebrew University of Jerusalem,Israel,45.8,55.6,41.4,64.6,31.9
A,University of Waterloo,Canada,35.4,74.4,43.9,66.5,39.5
A,University of Gothenburg,Sweden,28.5,58.3,39.8,81.8,30.3
A,Scuola Superiore SantâAnna,Italy,42.5,45.2,23.2,84.5,71.2
A,University of Bergen,Norway,32.5,70,31.5,82.4,36.2
A,Cardiff University,United Kingdom,30.9,78.1,31.6,82,34.6
A,University of Utah,United States of America,35.6,30.1,35.3,83.7,57.4
A,Brandeis University,United States of America,28.3,47,25.7,97.3,38.6
A,University of Dundee,United Kingdom,25.6,78.5,26.9,90.2,49.5
A,University of WÃ¼rzburg,Germany,34.6,50.9,35.8,79.1,47.9
A,Paris-Sud University,France,38.7,64.2,29,79.8,28.8
A,Arizona State University,United States of America,32.4,31.9,38.1,84.6,32
A,University of Antwerp,Belgium,31.6,64.8,40.8,71.7,60.3
A,Boston College,United States of America,34.1,60,29.3,83.3,46.8
A,Ulm University,Germany,35.2,58.2,23.9,86.4,58.4
A,University of Luxembourg,Luxembourg,25,99.8,26.7,84.8,38.1
A,Texas A&M University,United States of America,49.4,47.8,52.4,47.1,46.4
A,CharitÃ© - UniversitÃ¤tsmedizin Berlin,Germany,37.3,61.1,22.2,83.8,68.4
A,Newcastle University,United Kingdom,30.9,84.3,27.5,81.5,34.7
A,"St Georgeâs, University of London",United Kingdom,25.6,69.5,18.1,100,37.7
A,University of Trento,Italy,30.8,55.9,27.4,87.7,47.1
A,Paris Diderot University â Paris 7,France,30.5,64.9,22.9,91,29
B,Queenâs University Belfast,United Kingdom,34.1,93.4,33.3,68.9,35.7
B,Aalborg University,Denmark,25.1,71,28.4,73.8,43.7
B,"Birkbeck, University of London",United Kingdom,33.5,89.9,35.1,66.3,28.5
B,University of Bologna,Italy,39.3,39.9,29.5,73,34.5
B,University at Buffalo,United States of America,36.5,60.6,37.9,62,43.8
B,University of Calgary,Canada,33.9,70.1,36.7,67.8,52
B,Chalmers University of Technology,Sweden,36.6,77.6,35.3,52.2,79.5
B,City University of Hong Kong,Hong Kong,32.1,81.6,26.7,76.8,50.1
B,Copenhagen Business School,Denmark,19.3,88.5,26.5,79.4,35.3
B,Dalhousie University,Canada,30.4,78.3,29.4,65.2,50.3
B,University of Duisburg-Essen,Germany,32.3,48.5,27,81.3,82.3
B,Ãcole Normale SupÃ©rieure de Lyon,France,41.6,65.6,30,69,31.7
B,Florida State University,United States of America,38.5,41.6,40.1,64.7,32
B,University of Fribourg,Switzerland,32.3,87.4,32.9,64.1,60.8
B,Fudan University,China,44.7,38.6,30.4,61.1,28
B,George Washington University,United States of America,44.7,48.1,23.5,65.7,29.5
B,Goethe University Frankfurt,Germany,35.8,60.2,28.6,79.3,38.1
B,University of Hawaiâi at MÄnoa,Unisted States of America,32,63.4,35.5,67.7,44.7
B,Hong Kong Polytechnic University,Hong Kong,29.3,79,35.2,63.3,45.1
B,University of Illinois at Chicago,United States of America,40.9,58.1,29.2,63.2,38
B,Indiana University,United States of America,43,41.2,27.3,74.8,-
B,University of Iowa,United States of America,41,32.3,26.7,73.5,54.1
B,Johannes Gutenberg University of Mainz,Germany,34.9,53.3,21.7,72.6,70.7
B,Joseph Fourier University,France,34.2,58.6,21.6,83.2,31.6
B,University of Kiel,Germany,32.3,49.4,20.5,89.5,-
B,Laval University,Canada,37.5,63.8,31.7,62.2,57.5
B,Medical University of Vienna,Austria,26.6,81.7,14.6,89.1,33.9
B,Northeastern University,United States of America,35.5,58.7,20.6,84,32.9
B,Oregon Health and Science University,United States of America,27.8,21.4,15.7,96,44.6
B,University of Otago,New Zealand,30.7,89.9,30.5,74.9,31.5
B,University of Ottawa,Canada,37.1,69.9,36.7,61.5,41.5
B,Paris Descartes University,France,24.6,49.1,28.8,83.3,29
B,Peter the Great St Petersburg Polytechnic University,Russian Federation,30.8,29.6,17.8,97.4,42.5
B,Polytechnic University of Milan,Italy,30.1,48.8,31.7,76.3,66.3
B,Royal Veterinary College,United Kingdom,26,81.7,27.8,74.9,45.5
B,Rush University,United States of America,37.7,21.8,17.4,88.9,45.4
B,Sapienza University of Rome,Italy,38,34.7,37.3,61.5,32.6
B,University of Science and Technology of China,China,46.7,21.4,36.6,67.2,80.3
B,University of South Florida,United States of America,24.8,45.1,35.7,73.4,99.8
B,Stony Brook University,United States of America,32.6,53.2,22,83,33.4
B,University of Stuttgart,Germany,40,52.7,44.5,55.7,99.8
B,Swedish University of Agricultural Sciences,Sweden,31.5,40.1,32.8,68.1,99.9
B,Technical University of Darmstadt,Germany,37.1,54.4,43.2,51.1,99.1
B,University of Technology Sydney,Australia,27,90.1,35.1,66.9,42.3
B,Tel Aviv University,Israel,41,47.5,50.5,49.2,42.9
B,University of Texas at Dallas,United States of America,24.3,52.3,26.7,86.8,41.8
B,Tilburg University,Netherlands,34.1,71.6,47.1,51.5,57.4
B,Tohoku University,Japan,45.3,29.3,42.7,49.4,74.7
B,Tokyo Institute of Technology,Japan,45.6,31.9,47.6,42.2,70.9
B,University of Victoria,Canada,20.6,70.2,30,79,36.6
B,Wake Forest University,United States of America,34.6,24.2,19.5,94.8,42.5
B,University of Western Ontario,Canada,38.6,73.6,32.4,59,59.7
B,William & Mary,United States of America,38.5,26.6,17.5,85,29.1
B,University of the Witwatersrand,South Africa,26.2,68.4,31.5,76,99.7
B,Aalto University,Finland,31.1,65.4,32.8,62.1,61.6
B,Aix-Marseille University,France,36.7,63,22.1,64.9,33.1
B,University of Bath,United Kingdom,28.9,84.8,27.9,56.7,36.3
B,Bayreuth University,Germany,32.2,52.6,31.2,60.1,56.4
B,Bielefeld University,Germany,35.2,45.4,46.2,49.9,60.9
B,University of Bordeaux,France,25.3,54.6,22,71.7,30.6
